run_id,engine,cell,task,rep,prompt_tokens,completion_tokens,prefill_tps,decode_tps,ttft_s,warm_prefill_tps,warm_ttft_s,wall_s,correct,score,flags
20260614-191322,ik,spd_ik_600_short,needle_short,1,638,64,85.67,13.6,6.72,13.36,0.07,11.44,PASS,1.0,
20260614-191322,ik,spd_ik_600_short,needle_short,2,638,64,85.16,13.44,6.76,13.69,0.07,11.54,PASS,1.0,
20260614-191322,ik,spd_ik_600_short,needle_short,3,638,36,85.16,13.89,6.76,13.99,0.07,9.37,PASS,1.0,
20260614-191322,ik,spd_ik_600_long,needle_long,1,675,2000,84.71,13.25,7.24,13.35,0.07,158.24,PASS,1.0,
20260614-191322,ik,spd_ik_600_long,needle_long,2,675,2000,85.01,13.2,7.21,13.35,0.07,158.7,PASS,1.0,
20260614-191322,ik,spd_ik_600_long,needle_long,3,675,2000,84.54,13.21,7.25,13.6,0.07,158.66,PASS,1.0,
20260614-191322,ik,spd_ik_4k_short,needle_short,1,4104,64,79.99,12.81,50.53,12.56,0.08,55.56,PASS,1.0,
20260614-191322,ik,spd_ik_4k_short,needle_short,2,4104,64,79.9,12.79,50.59,12.55,0.08,55.63,PASS,1.0,
20260614-191322,ik,spd_ik_4k_short,needle_short,3,4104,59,79.73,12.91,50.69,12.61,0.08,55.3,PASS,1.0,
20260614-191322,ik,spd_ik_4k_long,needle_long,1,4141,2000,79.23,12.48,51.48,12.52,0.08,211.81,PASS,1.0,
20260614-191322,ik,spd_ik_4k_long,needle_long,2,4141,2000,79.59,12.47,51.25,12.53,0.08,211.73,PASS,1.0,
20260614-191322,ik,spd_ik_4k_long,needle_long,3,4141,2000,79.56,12.46,51.27,12.4,0.08,211.8,PASS,1.0,
20260614-191322,ik,spd_ik_16k_short,needle_short,1,15960,64,51.46,10.91,308.95,10.03,0.1,314.93,PASS,1.0,
20260614-191322,ik,spd_ik_16k_short,needle_short,2,15960,64,51.59,10.82,308.17,10.75,0.09,314.19,PASS,1.0,
20260614-191322,ik,spd_ik_16k_short,needle_short,3,15960,64,51.69,10.9,307.54,10.27,0.1,313.52,PASS,1.0,
20260614-191322,ik,spd_ik_16k_long,needle_long,1,15997,2000,51.54,10.23,309.18,10.64,0.09,504.73,PASS,1.0,
20260614-191322,ik,spd_ik_16k_long,needle_long,2,15997,2000,51.39,10.22,310.06,10.7,0.09,505.94,PASS,1.0,
20260614-191322,ik,spd_ik_16k_long,needle_long,3,15997,2000,51.34,10.22,310.38,10.62,0.09,506.14,PASS,1.0,
20260614-191322,ik,spd_ik_30k_short,needle_short,1,30554,62,29.7,8.75,1026.59,8.53,0.12,1033.88,PASS,1.0,
20260614-191322,ik,spd_ik_30k_short,needle_short,2,30554,64,29.72,8.72,1026.06,8.79,0.11,1033.6,PASS,1.0,
20260614-191322,ik,spd_ik_30k_short,needle_short,3,30554,52,29.7,8.71,1026.72,8.54,0.12,1032.89,PASS,1.0,
20260614-191322,ik,spd_ik_30k_long,needle_long,1,30591,2000,29.45,8.46,1036.65,7.07,0.14,1273.24,PASS,1.0,
20260614-191322,ik,spd_ik_30k_long,needle_long,2,30591,2000,29.39,8.45,1038.69,8.55,0.12,1275.6,PASS,1.0,
20260614-191322,ik,spd_ik_30k_long,needle_long,3,30591,2000,29.46,8.45,1036.16,8.44,0.12,1272.92,PASS,1.0,
20260614-191322,ik,qual_ik_needle,needle_short,1,15960,24,51.32,11.27,309.79,11.16,0.09,312.03,PASS,1.0,
20260614-191322,ik,qual_ik_needle,needle_short,2,15960,63,51.47,10.84,308.86,10.73,0.09,314.78,PASS,1.0,
20260614-191322,ik,qual_ik_needle,needle_short,3,15960,48,51.38,11.01,309.42,10.78,0.09,313.89,PASS,1.0,
20260614-191322,ik,qual_ik_summ,summ,1,16039,423,51.43,10.62,310.68,10.73,0.09,350.63,PASS,1.0,
20260614-191322,ik,qual_ik_summ,summ,2,16039,510,51.28,10.54,311.57,11.03,0.09,360.06,PASS,1.0,
20260614-191322,ik,qual_ik_summ,summ,3,16039,434,51.27,10.57,311.6,10.68,0.09,352.77,PASS,1.0,
20260614-191322,ik,qual_ik_reason,reason,1,146,337,68.78,13.65,1.22,13.42,0.07,25.91,PASS,1.0,
20260614-191322,ik,qual_ik_reason,reason,2,146,324,67.82,13.57,1.24,13.53,0.07,25.13,PASS,1.0,
20260614-191322,ik,qual_ik_reason,reason,3,146,351,68.5,13.6,1.23,13.57,0.07,27.05,PASS,1.0,
20260614-191322,ik,qual_ik_code,code,1,142,367,65.41,13.55,1.22,13.48,0.07,28.32,PASS,1.0,
20260614-191322,ik,qual_ik_code,code,2,142,475,66.61,13.54,1.2,13.45,0.07,36.29,PASS,1.0,
20260614-191322,ik,qual_ik_code,code,3,142,238,65.7,13.52,1.22,13.43,0.07,18.83,PASS,1.0,
20260614-191322,main,spd_main_600_short,needle_short,1,638,26,51.21,16.91,11.29,15.9,0.06,12.84,PASS,1.0,
20260614-191322,main,spd_main_600_short,needle_short,2,638,27,51.04,16.64,11.32,15.99,0.06,12.97,PASS,1.0,
20260614-191322,main,spd_main_600_short,needle_short,3,638,64,51.46,16.33,11.23,16.07,0.06,15.17,PASS,1.0,
20260614-191322,main,spd_main_600_long,needle_long,1,675,553,51.55,15.79,11.93,15.81,0.06,46.97,PASS,1.0,
20260614-191322,main,spd_main_600_long,needle_long,2,675,2000,50.99,14.75,12.06,28.72,0.17,147.66,PASS,1.0,
20260614-191322,main,spd_main_600_long,needle_long,3,675,2000,51.37,14.72,11.97,28.63,0.17,147.9,PASS,1.0,
20260614-191322,main,spd_main_4k_short,needle_short,1,4104,55,47.63,12.45,84.9,12.26,0.08,89.36,PASS,1.0,
20260614-191322,main,spd_main_4k_short,needle_short,2,4104,64,47.58,12.44,85.0,12.17,0.08,90.18,PASS,1.0,
20260614-191322,main,spd_main_4k_short,needle_short,3,4104,64,47.67,12.49,84.83,12.35,0.08,89.99,PASS,1.0,
20260614-191322,main,spd_main_4k_long,needle_long,1,4141,2000,47.6,11.65,85.74,18.95,0.26,257.53,PASS,1.0,
20260614-191322,main,spd_main_4k_long,needle_long,2,4141,2000,47.6,11.67,85.74,19.03,0.26,257.21,PASS,1.0,
20260614-191322,main,spd_main_4k_long,needle_long,3,4141,2000,47.54,11.67,85.84,19.23,0.26,257.24,PASS,1.0,
20260614-191322,main,spd_main_16k_short,needle_short,1,15960,46,37.37,7.1,425.51,6.86,0.15,432.09,PASS,1.0,
20260614-191322,main,spd_main_16k_short,needle_short,2,15960,44,37.46,7.14,424.45,5.92,0.17,430.73,PASS,1.0,
20260614-191322,main,spd_main_16k_short,needle_short,3,15960,63,37.46,6.97,424.41,6.81,0.15,433.56,PASS,1.0,
20260614-191322,main,spd_main_16k_long,needle_long,1,15997,2000,37.32,6.5,427.0,7.56,0.66,734.91,PASS,1.0,
20260614-191322,main,spd_main_16k_long,needle_long,2,15997,2000,37.26,6.52,427.74,7.36,0.68,734.56,PASS,1.0,
20260614-191322,main,spd_main_16k_long,needle_long,3,15997,2000,37.42,6.53,425.9,7.26,0.69,732.13,PASS,1.0,
20260614-191322,main,spd_main_30k_short,needle_short,1,30554,64,29.23,2.94,1043.33,2.87,0.35,1065.28,PASS,1.0,
20260614-191322,main,spd_main_30k_short,needle_short,2,30554,64,29.24,2.94,1042.89,2.72,0.37,1064.86,PASS,1.0,
20260614-191322,main,spd_main_30k_short,needle_short,3,30554,58,29.27,2.89,1041.67,2.87,0.35,1061.94,PASS,1.0,
20260614-191322,main,spd_main_30k_long,needle_long,1,30591,2000,29.26,2.74,1043.42,3.24,1.54,1774.32,PASS,1.0,
20260614-191322,main,spd_main_30k_long,needle_long,2,30591,2000,29.27,2.77,1043.19,3.21,1.56,1764.41,PASS,1.0,
20260614-191322,main,spd_main_30k_long,needle_long,3,30591,2000,29.26,2.57,1043.28,3.15,1.58,1821.17,PASS,1.0,
20260614-191322,main,qual_main_needle,needle_short,1,15960,64,37.47,6.79,424.35,6.51,0.15,433.89,PASS,1.0,
20260614-191322,main,qual_main_needle,needle_short,2,15960,64,37.53,6.88,423.71,6.76,0.15,433.13,PASS,1.0,
20260614-191322,main,qual_main_needle,needle_short,3,15960,45,37.53,6.97,423.68,6.7,0.15,430.25,PASS,1.0,
20260614-191322,main,qual_main_summ,summ,1,16039,501,37.27,6.7,428.77,6.62,0.15,503.67,PASS,1.0,
20260614-191322,main,qual_main_summ,summ,2,16039,458,37.34,6.67,427.88,6.27,0.16,496.69,PASS,1.0,
20260614-191322,main,qual_main_summ,summ,3,16039,409,37.3,6.73,428.41,6.64,0.15,489.32,PASS,1.0,
20260614-191322,main,qual_main_reason,reason,1,146,439,50.19,17.12,1.71,17.89,0.06,27.37,PASS,1.0,
20260614-191322,main,qual_main_reason,reason,2,146,253,49.44,17.32,1.74,17.24,0.06,16.36,PASS,1.0,
20260614-191322,main,qual_main_reason,reason,3,146,395,50.3,17.15,1.71,17.23,0.06,24.75,PASS,1.0,
20260614-191322,main,qual_main_code,code,1,142,206,49.41,17.41,1.66,17.82,0.06,13.51,PASS,1.0,
20260614-191322,main,qual_main_code,code,2,142,300,49.75,17.28,1.65,17.48,0.06,19.03,PASS,1.0,
20260614-191322,main,qual_main_code,code,3,142,374,49.34,17.21,1.66,17.62,0.06,23.41,FAIL,0.0,
20260614-191322,ikfa,spd_ikfa_16k_short,needle_short,1,15960,58,51.61,10.9,308.04,10.64,0.09,313.47,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_16k_short,needle_short,2,15960,55,51.59,11.03,308.14,10.73,0.09,313.24,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_16k_short,needle_short,3,15960,47,51.86,10.98,306.54,10.66,0.09,310.93,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_16k_long,needle_long,1,15997,2000,51.48,10.25,309.57,10.63,0.09,504.78,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_16k_long,needle_long,2,15997,2000,51.61,10.25,308.76,10.57,0.09,504.06,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_16k_long,needle_long,3,15997,2000,51.48,10.23,309.53,11.0,0.09,505.17,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_short,needle_short,1,30554,47,29.47,8.79,1034.79,8.73,0.11,1040.34,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_short,needle_short,2,30554,64,29.45,8.7,1035.49,8.77,0.11,1043.05,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_short,needle_short,3,30554,64,29.47,8.68,1034.74,,,1042.32,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_long,needle_long,1,30591,2000,29.18,8.45,1046.29,8.61,0.12,1283.14,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_long,needle_long,2,30591,2000,29.18,8.43,1046.25,8.42,0.12,1283.78,PASS,1.0,
20260614-191322,ikfa,spd_ikfa_30k_long,needle_long,3,30591,2000,29.15,8.45,1047.3,8.6,0.12,1284.31,PASS,1.0,
