run_id,model,engine,cell,task,rep,prompt_tokens,completion_tokens,prefill_tps,decode_tps,ttft_s,warm_prefill_tps,warm_ttft_s,wall_s,correct,score,flags
20260618-220001,qwen,ik,spd_ik_600_short,needle_short,1,599,5,98.77,22.49,6.06,18.76,0.05,6.32,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_600_short,needle_short,2,599,5,97.01,21.56,6.17,17.92,0.06,6.44,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_600_short,needle_short,3,599,5,97.25,22.99,6.16,17.53,0.06,6.41,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_600_long,needle_long,1,638,1582,98.68,17.0,6.47,17.14,0.06,99.55,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_600_long,needle_long,2,638,1440,97.64,17.15,6.53,17.45,0.06,90.54,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_600_long,needle_long,3,638,1475,96.77,17.13,6.59,17.69,0.06,92.75,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_short,needle_short,1,4378,5,64.89,17.44,67.47,13.57,0.07,67.8,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_short,needle_short,2,4378,5,65.01,17.43,67.34,13.64,0.07,67.67,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_short,needle_short,3,4378,5,65.13,17.42,67.22,13.91,0.07,67.56,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_long,needle_long,1,4417,1752,63.97,12.95,69.05,13.82,0.07,204.38,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_long,needle_long,2,4417,1633,64.19,12.96,68.81,13.5,0.07,194.91,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_4k_long,needle_long,3,4417,1766,63.92,12.95,69.1,13.47,0.07,205.53,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_16k_short,needle_short,1,17873,5,25.72,8.93,694.87,7.19,0.14,695.51,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_16k_short,needle_short,2,17873,5,25.66,9.11,696.59,7.13,0.14,697.22,PASS,1.0,
20260618-220001,qwen,ik,spd_ik_16k_short,needle_short,3,17873,5,25.65,9.09,696.76,6.97,0.14,697.4,PASS,1.0,
